"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42818","test_update[Planning Client -> Adv. Filter Field Mapping:Text 7]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Text 7","edit","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","29009","test_edit_non_admin[Subtask View:Fields to display in Compact view]","Subtask View","2026-01-03","failed","2026-01-03","Fields to display in Compact view","edit_non_admin","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","82133","test_negative_update[SubTask -> Common:Subtask Custom Text Fields to display in Subtask Details]","SubTask -> Common","2026-01-03","failed","2026-01-03","Subtask Custom Text Fields to display in Subtask Details","negative_update","",""
"","46797","test_update[Application -> Concerto Pipeline:Enable Pipeline Simulation]","Application -> Concerto Pipeline","2026-01-03","passed","2026-01-03","Enable Pipeline Simulation","edit","",""
"","80486","test_update[Common -> Project Attribute Type and status:Customer validation]","Common -> Project Attribute Type and status","2026-01-04","passed","2026-01-04","Customer validation","edit","",""
"","60714","test_update[Common -> Column Names:Pipeline Projected Date]","Common -> Column Names","2026-01-03","passed","2026-01-03","Pipeline Projected Date","edit","",""
"","79463","test_view[Metrics -> Buffering:Filters Available]","Metrics -> Buffering","2026-01-04","failed","2026-01-04","Filters Available","view","",""
"","21742","test_view[Common -> Filter Names:Values Above]","Common -> Filter Names","2026-01-04","failed","2026-01-04","Values Above","view","",""
"","71146","test_update[Project Mgr -> Project Status:Subprojects]","Project Mgr -> Project Status","2026-01-03","passed","2026-01-03","Subprojects","edit","",""
"","75457","test_view[Common -> Column Names:Buffer Size (d)]","Common -> Column Names","2026-01-04","passed","2026-01-04","Buffer Size (d)","view","",""
"","49899","test_view[Common -> Column Names:Full Kit Compliance]","Common -> Column Names","2026-01-04","passed","2026-01-04","Full Kit Compliance","view","",""
"","33656","test_view[Common -> Filter Names:Priority]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Priority","view","",""
"","55239","test_update[Planning Client -> Table View CC mode:Hidden Fields]","Planning Client -> Table View CC mode","2026-01-04","failed","2026-01-04","Hidden Fields","edit","",""
"","102591","test_update[Task Mgr -> Task List -> Subtasks:Sort Order]","Task Mgr -> Task List -> Subtasks","2026-01-04","failed","2026-01-04","Sort Order","edit","",""
"","66544","test_view[Full Kit Mgr -> Full Kit Report:Show Team Members in Full Kit Mgr Filter]","Full Kit Mgr -> Full Kit Report","2026-01-04","failed","2026-01-04","Show Team Members in Full Kit Mgr Filter","view","",""
"","25895","test_view[Buffer Diagnostics -> By Help Needed:Filters to display]","Buffer Diagnostics -> By Help Needed","2026-01-04","failed","2026-01-04","Filters to display","view","",""
"","59240","test_view[Common -> Filter Names:Planned]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Planned","view","",""
"","26269","test_update[Common -> Filter Names:Incl Avg Days Escalated]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Incl Avg Days Escalated","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","157777","test_context_retention[Metrics -> Task Mgt:Filters To Display]","Metrics -> Task Mgt","2026-01-03","failed","2026-01-03","Filters To Display","context_retention","",""
"","51052","test_update[Common -> Column Names:Expected Completion Date(in Earned Hours Report)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Expected Completion Date(in Earned Hours Report)","edit","",""
"","22609","test_update[Common -> Column Names:Task Unique Identifier]","Common -> Column Names","2026-01-03","passed","2026-01-03","Task Unique Identifier","edit","",""
"","58955","test_update[Common -> Column Names:Push out project due date]","Common -> Column Names","2026-01-03","failed","2026-01-03","Push out project due date","edit","",""
"","44716","test_update[Common -> Column Names:Parent task`s Remaining Duration]","Common -> Column Names","2026-01-03","passed","2026-01-03","Parent task`s Remaining Duration","edit","",""
"","70659","test_update[Integration -> Subtask:SubTaskId]","Integration -> Subtask","2026-01-04","failed","2026-01-04","SubTaskId","edit","",""
"","15987","test_view[Common -> Column Names:CMSB Task Fed Name]","Common -> Column Names","2026-01-04","passed","2026-01-04","CMSB Task Fed Name","view","",""
"","65101","test_view[Bulk Import:Email Body]","Bulk Import","2026-01-04","passed","2026-01-04","Email Body","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","65230","test_context_retention[Project Mgr -> Pipeline View:Rows Per Page]","Project Mgr -> Pipeline View","2026-01-03","passed","2026-01-03","Rows Per Page","context_retention","",""
"","44802","test_update[Project Mgr -> WIP Report:Show Project Description]","Project Mgr -> WIP Report","2026-01-03","passed","2026-01-03","Show Project Description","edit","",""
"","67886","test_update[Common -> Column Names:Planned Date]","Common -> Column Names","2026-01-03","failed","2026-01-03","Planned Date","edit","",""
"","55648","test_view[CCBM Scheduling:Move feeding buffer or chain]","CCBM Scheduling","2026-01-04","failed","2026-01-04","Move feeding buffer or chain","view","",""
"","52492","test_update[Planning Client -> Common:Push out routine to be used in schedulling]","Planning Client -> Common","2026-01-04","passed","2026-01-04","Push out routine to be used in schedulling","edit","",""
"","55514","test_update[Common -> Filter Names:Compare With]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Compare With","edit","",""
"","33638","test_view[Project Mgr -> Review History:Include Contractual Milestones]","Project Mgr -> Review History","2026-01-05","passed","2026-01-05","Include Contractual Milestones","view","",""
"","29453","test_view[Metrics -> Issue Resolution:Filters To Display]","Metrics -> Issue Resolution","2026-01-04","passed","2026-01-04","Filters To Display","view","",""
"","26568","test_view[Planning Client -> Import Field Mapping:Remaining Duration]","Planning Client -> Import Field Mapping","2026-01-04","passed","2026-01-04","Remaining Duration","view","",""
